[PERF] units H:15 E:25 | tick avg 0.41ms max 6.10ms (n=301) | move 34.9ms | target 0.1ms (48 calls) | path 0.4ms max 0.36ms (1 calls) | fog 51.8ms | minimap 0.1ms | ai 0.2ms | window 5.0s
[PERF] units H:16 E:25 | tick avg 0.41ms max 5.59ms (n=300) | move 39.3ms | target 0.1ms (47 calls) | path 0.7ms max 0.35ms (2 calls) | fog 46.5ms | minimap 0.1ms | ai 0.1ms | window 5.0s
[PERF] units H:16 E:25 | tick avg 0.46ms max 6.46ms (n=300) | move 44.9ms | target 0.0ms (28 calls) | path 0.4ms max 0.40ms (1 calls) | fog 53.5ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:16 E:25 | tick avg 0.42ms max 5.91ms (n=300) | move 38.6ms | target 0.1ms (49 calls) | path 0.7ms max 0.38ms (2 calls) | fog 51.4ms | minimap 0.1ms | ai 0.1ms | window 5.0s
[PERF] units H:16 E:25 | tick avg 0.42ms max 5.67ms (n=300) | move 38.2ms | target 0.1ms (52 calls) | path 0.3ms max 0.34ms (1 calls) | fog 50.6ms | minimap 0.1ms | ai 0.2ms | window 5.0s
[PERF] units H:17 E:25 | tick avg 0.40ms max 5.48ms (n=300) | move 37.3ms | target 0.0ms (27 calls) | path 0.7ms max 0.36ms (2 calls) | fog 46.1ms | minimap 0.1ms | ai 0.5ms | window 5.0s
[PERF] units H:17 E:27 | tick avg 0.43ms max 6.26ms (n=301) | move 38.9ms | target 0.1ms (48 calls) | path 0.3ms max 0.34ms (1 calls) | fog 52.9ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:17 E:27 | tick avg 0.42ms max 5.54ms (n=300) | move 37.3ms | target 0.1ms (49 calls) | path 0.0ms max 0.00ms (0 calls) | fog 51.0ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:18 E:27 | tick avg 0.42ms max 5.77ms (n=301) | move 36.3ms | target 0.1ms (28 calls) | path 0.3ms max 0.35ms (1 calls) | fog 52.3ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:18 E:27 | tick avg 0.43ms max 5.70ms (n=300) | move 37.5ms | target 0.1ms (49 calls) | path 0.0ms max 0.00ms (0 calls) | fog 52.8ms | minimap 0.2ms | ai 0.1ms | window 5.0s
